time,open,high,low,close,tick_volume,spread,real_volume
2024-09-22 20:30:00,62971.69,62986.99,62968.29,62986.99,27,1,0
2024-09-22 20:31:00,62986.99,62986.99,62976.81,62978.0,23,1,0
2024-09-22 20:32:00,62978.0,62990.99,62978.0,62990.99,5,1,0
2024-09-22 20:33:00,62990.99,62991.21,62987.49,62991.19,12,1,0
2024-09-22 20:34:00,62991.19,62992.23,62990.01,62992.23,4,1,0
2024-09-22 20:35:00,62992.23,63005.4,62992.23,63003.23,9,1,0
2024-09-22 20:36:00,63003.23,63097.99,63003.23,63088.0,57,1,0
2024-09-22 20:37:00,63088.0,63095.84,63054.0,63064.0,45,1,0
2024-09-22 20:38:00,63064.0,63079.99,63027.3,63037.99,33,1,0
2024-09-22 20:39:00,63037.99,63047.99,63028.95,63028.95,15,1,0
2024-09-22 20:40:00,63028.95,63047.99,62990.0,62990.0,21,1,0
2024-09-22 20:41:00,62990.0,63019.99,62990.0,63019.99,21,1,0
2024-09-22 20:42:00,63019.99,63029.99,63010.0,63027.99,27,1,0
2024-09-22 20:43:00,63027.99,63027.99,63009.19,63021.14,20,1,0
2024-09-22 20:44:00,63021.14,63033.98,63021.14,63033.98,9,1,0
2024-09-22 20:45:00,63033.98,63033.98,62996.49,63007.98,32,1,0
2024-09-22 20:46:00,63007.98,63073.96,63007.98,63054.01,42,1,0
2024-09-22 20:47:00,63054.01,63059.99,63032.08,63059.99,37,1,0
2024-09-22 20:48:00,63059.99,63065.98,63054.62,63054.62,10,1,0
2024-09-22 20:49:00,63054.62,63095.08,63054.62,63095.08,17,1,0
2024-09-22 20:50:00,63095.08,63095.08,63080.0,63089.79,16,1,0
2024-09-22 20:51:00,63089.79,63089.99,63074.12,63075.7,19,1,0
2024-09-22 20:52:00,63075.7,63085.99,63075.7,63078.49,6,1,0
2024-09-22 20:53:00,63078.49,63081.59,63058.01,63081.59,25,1,0
2024-09-22 20:54:00,63081.59,63133.99,63081.59,63132.39,24,1,0
2024-09-22 20:55:00,63132.39,63132.39,63092.35,63101.99,25,1,0
2024-09-22 20:56:00,63101.99,63125.12,63101.99,63124.16,9,1,0
2024-09-22 20:57:00,63124.16,63124.16,63094.0,63096.0,23,1,0
2024-09-22 20:58:00,63096.0,63096.0,63062.47,63062.47,24,1,0
2024-09-22 20:59:00,63062.47,63073.99,63062.47,63062.66,12,1,0
2024-09-22 21:00:00,63062.66,63067.99,63031.91,63031.91,26,1,0
2024-09-22 21:01:00,63031.91,63035.99,63022.56,63035.99,14,1,0
2024-09-22 21:02:00,63035.99,63035.99,63000.0,63021.99,29,1,0
2024-09-22 21:03:00,63021.99,63035.49,63021.99,63027.99,11,1,0
2024-09-22 21:04:00,63027.99,63027.99,63024.14,63024.14,4,1,0
2024-09-22 21:05:00,63024.14,63024.14,63008.0,63008.0,11,1,0
2024-09-22 21:06:00,63008.0,63008.0,63008.0,63008.0,1,1,0
2024-09-22 21:07:00,63008.0,63023.99,63008.0,63010.01,15,1,0
2024-09-22 21:08:00,63010.01,63010.01,62982.15,62982.15,14,1,0
2024-09-22 21:09:00,62982.15,62982.15,62971.42,62977.99,7,1,0
