open,high,low,close,volume,smoothed_data,macd_line,signal_line,histo
16795,16840,16725,16808,7299.0,16815.15298557637,3.998947519252397,4.5361337161725555,-0.5371861969201586
16808,16838,16763,16828,2674.0,16798.682173576814,-1.9965309238250484,0.18103009710524098,-2.1775610209302894
16828,16831,16784,16792,2243.0,16779.323030970194,-7.729877663623483,-5.092900222137473,-2.6369774414860103
16792,16828,16767,16795,1502.0,16753.47519885476,-13.748586594349035,-10.863360874077545,-2.8852257202714906
16795,16795,16745,16754,1242.0,16750.30936623762,-12.086057044827612,-11.678508030396923,-0.407549014430689
16754,16769,16675,16702,2931.0,16773.684308465043,-2.397289112013823,-5.491050756481207,3.093761644467384
16702,16808,16649,16801,66072.0001,16806.689288336398,8.979712913358526,4.156093807008062,4.823619106350463
16801,16924,16768,16901,52838.0,16857.808074756555,27.887927588155435,19.852154974252947,8.035772613902488
16901,16993,16852,16887,36125.0,16887.266258601703,35.70549789884171,30.42099549881964,5.284502400022074
16887,16914,16867,16885,1019.0,16891.238434784736,30.841482699790504,30.7012811862578,0.1402015135327055
16885,16885,16858,16881,378.0,16896.334636155712,24.57369597217985,26.616279135364664,-2.0425831631848155
16904,16911,16853,16882,7650.0,16892.33628617259,9.824457636310399,12.684331207966473,-2.859873571656074
16882,16905,16869,16900,20976.0,16891.887964635218,5.629132626421779,7.980867533914321,-2.351734907492542
16900,16905,16878,16904,21040.0,16897.75761606248,4.888975211539218,5.919614685317038,-1.0306394737778195
16904,16909,16898,16907,6180.0,16895.405849789026,2.9038973869173788,3.9091508152242613,-1.0052534283068826
16907,16915,16877,16904,26308.0,16887.99448093895,-3.57338584959507,0.9871887051655723,-4.560574554760642
16904,16917,16872,16916,16846.0,16897.039577586045,1.7117589139234042,2.0434350652141107,-0.3316761512907065
16916,16926,16890,16896,25238.0,16922.604711481734,46.599861174836406,38.99184944631405,7.6080117285223565
16896,16972,16885,16963,26060.0,16956.714002972552,37.202975594143936,30.594390156543536,6.6085854376004
16963,16979,16855,16892,35242.0,17004.768506643766,50.21003114031919,35.729581854669746,14.480449285649442
16892,17130,16887,17090,48533.0,17051.520349733102,92.26009116977002,61.34263389425023,30.917457275519794
17090,17209,17073,17162,84720.0,17096.244257791346,86.84554485322224,56.263701475392445,30.58184337782979
17162,17214,17148,17164,49562.0,17151.117102681783,112.68426321711013,82.09029585357436,30.593967363535768
17164,17243,17155,17206,35847.0,17212.946450733794,126.60283820614495,108.81471447255896,17.78812373358599
17207,17292,17161,17236,48045.0,17242.057663425065,132.02604983941637,109.4943817551218,22.53166808429458
17236,17358,17234,17262,51231.0,17235.931337864335,111.51033381411253,110.14399081422918,1.3663429998833436
17262,17274,17097,17144,48287.0,17211.04578029602,118.91342870379958,149.77809483363876,-30.86466612983918
17144,17196,17114,17169,37393.0,17156.375299314994,4.670064780351822,37.41171322764167,-32.74164844728985
17169,17195,17155,17164,30931.0,17153.712472235184,8.740521610536234,31.88171344256294,-23.141191832026706
17164,17245,17155,17220,32771.0,17209.69816697079,30.379338254184404,17.323267591745548,13.056070662438856
17220,17334,17177,17289,83710.0,17275.374417098283,42.992688946425915,31.284007911004284,11.70868103542163
17291,17414,17250,17395,119585.0,17371.944304740955,69.49634448438883,56.75889897482821,12.737445509560615
17394,17452,17370,17405,96880.9999,17422.300642216796,175.42316814206424,162.80722853595705,12.61593960610719
17405,17463,17331,17378,80492.0,17417.160733331144,27.62408595532179,38.11108413354164,-10.48699817821985
17376,17422,17355,17410,56005.0,17411.10613699329,53.79656202971091,63.11197273887476,-9.31541070916385
17411,17431,17378,17401,68715.0,17383.789409910958,19.03524419594396,57.388002829252635,-38.352758633308675
17401,17401,17280,17292,100967.0,17430.841719067128,81.10416156362044,86.43022561434401,-5.3260640507235735
17292,17514,17290,17512,113456.0,17565.397677769473,77.10150529444218,55.76921938176064,21.332285912681535
17512,17955,17476,17907,151826.9998,17725.489047435425,118.55075266212225,97.62357492186958,20.927177740252674
17907,18327,17873,18187,108367.9998,17938.13952176156,165.77537633478642,143.05810920211445,22.717267132671964
18187,18198,18047,18099,41056.0,18122.13284867526,174.88768814504147,164.27782846759732,10.609859677444149
18099,18180,18035,18164,26743.0,18267.72933502595,159.9438440799713,161.38850555244727,-1.444661472475957
18164,18312,17898,18053,53996.0,18437.454179576645,164.97192206978798,163.7774499370768,1.1944721327111836
18053,18991,18026,18850,76854.0,18610.631137947934,168.9859609976411,167.24979059445002,1.7361704031910676
18850,19066,18735,18822,30497.0,18743.942273108038,150.9929804056883,156.41191701110137,-5.41893660541308
18822,18849,18687,18840,8195.0,18838.241473864397,122.99649007618427,134.13496555227977,-11.138475476095493
